sire,アグネスタキオン,アグネスデジタル,アドマイヤムーン,エンパイアメーカーEmpire Maker(米),キングカメハメハ,キングヘイロー,クロフネ,ゴールドアリュール,サウスヴィグラス,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ジャングルポケット,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,タニノギムレット,ダイワメジャー,ダンスインザダーク,ディープインパクト,ネオユニヴァース,ハーツクライ,ハービンジャーHarbinger(英),フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),マンハッタンカフェ,ロージズインメイRoses in May(米),ワイルドラッシュWild Rush(米)
ドレフォンDrefong(米),0.17592592592592593,,0.20454545454545456,0.6666666666666666,0.26791277258566976,0.4358974358974359,0.24528301886792453,0.3014705882352941,0.4318181818181818,0.07692307692307693,0.16556291390728478,0.25384615384615383,0.34615384615384615,0.125,0.3090909090909091,0.1872146118721461,,,0.25149700598802394,0.20430107526881722,0.28087649402390436,0.1834862385321101,0.2857142857142857,0.10714285714285714,0.2623762376237624,0.32432432432432434,0.2972972972972973,0.2916666666666667,,
ハーツクライ,,0.2702702702702703,,,0.29605263157894735,,0.19696969696969696,,,0.2737430167597765,,0.29464285714285715,,,,,0.24,0.4375,,,,,,,,0.31333333333333335,0.1919191919191919,,0.34,
ハービンジャーHarbinger(英),0.2618296529968454,0.38461538461538464,0.19672131147540983,0.35294117647058826,0.22857142857142856,,0.34459459459459457,0.1111111111111111,,0.1282051282051282,0.21232876712328766,0.2545454545454545,0.16129032258064516,0.07692307692307693,0.18518518518518517,0.2080536912751678,0.0,0.325,0.2356687898089172,0.1780821917808219,0.19419642857142858,0.22388059701492538,0.2893772893772894,,0.19767441860465115,0.15625,0.15,0.128,0.16666666666666666,
パイロPyro(米),0.2,,0.1724137931034483,0.24242424242424243,0.2981366459627329,,0.2396694214876033,0.2676056338028169,0.20833333333333334,,0.19444444444444445,0.24324324324324326,0.3888888888888889,,0.24615384615384617,0.14285714285714285,0.3,,0.21481481481481482,0.20192307692307693,,0.28169014084507044,0.10526315789473684,0.4166666666666667,0.2804878048780488,0.2,0.25,0.34545454545454546,,0.7272727272727273
ブラックタイド,,0.12,,0.37037037037037035,0.2300469483568075,0.3617021276595745,0.23478260869565218,,0.0,0.16049382716049382,,0.21505376344086022,0.27586206896551724,,,,0.043478260869565216,0.2903225806451613,,,,,,,,0.28735632183908044,0.232,,0.21739130434782608,0.22
ヘニーヒューズHenny Hughes(米),0.2868525896414343,0.21428571428571427,0.19047619047619047,0.22115384615384615,0.2982456140350877,0.37,0.23863636363636365,0.27380952380952384,0.2826086956521739,0.29411764705882354,0.22929936305732485,0.35135135135135137,0.22916666666666666,0.24324324324324326,0.29559748427672955,0.21481481481481482,0.20408163265306123,0.23333333333333334,0.27053140096618356,0.20394736842105263,0.27918781725888325,0.24305555555555555,0.1743119266055046,0.46153846153846156,0.3006535947712418,0.28846153846153844,0.3282442748091603,0.2857142857142857,0.125,0.2962962962962963
ホッコータルマエ,0.29411764705882354,0.20754716981132076,0.16666666666666666,0.358695652173913,,0.29545454545454547,0.24489795918367346,0.21374045801526717,,0.29508196721311475,0.3611111111111111,0.3173076923076923,0.23076923076923078,0.14035087719298245,0.15873015873015872,0.21052631578947367,0.0,0.2,0.2682926829268293,0.2079207920792079,0.15841584158415842,0.18253968253968253,0.13725490196078433,0.5,0.06557377049180328,0.13333333333333333,0.2682926829268293,0.19791666666666666,0.38461538461538464,0.18867924528301888
マジェスティックウォリアーMajestic Warrior(米),0.313953488372093,,0.27419354838709675,0.4025974025974026,0.2642857142857143,0.0,0.024390243902439025,0.22164948453608246,0.10810810810810811,0.2857142857142857,0.05263157894736842,0.1885245901639344,0.037037037037037035,0.16666666666666666,0.19806763285024154,0.2727272727272727,0.034482758620689655,,0.15853658536585366,0.171875,0.20491803278688525,0.26666666666666666,0.2261904761904762,0.047619047619047616,0.31976744186046513,0.17391304347826086,0.31343283582089554,0.2413793103448276,0.136986301369863,0.265625
ミッキーアイル,0.0,0.3888888888888889,0.024390243902439025,0.30952380952380953,0.24774774774774774,,0.28160919540229884,,0.11764705882352941,0.3170731707317073,,0.3229166666666667,0.3146067415730337,0.2222222222222222,,0.08695652173913043,0.17647058823529413,0.3111111111111111,0.13043478260869565,,,,,0.2602739726027397,0.14285714285714285,0.39215686274509803,0.2826086956521739,0.20930232558139536,0.38461538461538464,0.18181818181818182
モーリス,0.25142857142857145,0.28,0.2786885245901639,0.09523809523809523,0.28992628992628994,0.4375,0.2,0.11764705882352941,0.3333333333333333,0.10843373493975904,0.13333333333333333,0.21052631578947367,0.10344827586206896,0.20930232558139536,0.3315508021390374,0.27419354838709675,0.39473684210526316,0.16279069767441862,0.2727272727272727,0.27876106194690264,0.2885032537960954,0.3382352941176471,0.2635135135135135,0.08108108108108109,0.24489795918367346,0.1619047619047619,0.05555555555555555,0.25301204819277107,0.2916666666666667,
リオンディーズ,0.20689655172413793,0.045454545454545456,0.16666666666666666,0.4,,0.2727272727272727,0.25333333333333335,0.24,,0.19090909090909092,0.0,0.26506024096385544,0.27941176470588236,0.25773195876288657,,0.07482993197278912,0.13333333333333333,0.23529411764705882,0.2222222222222222,0.09090909090909091,0.2747603833865815,0.14583333333333334,0.2631578947368421,0.27419354838709675,0.3157894736842105,0.24358974358974358,0.3125,0.3468208092485549,,0.05555555555555555
ルーラーシップ,0.2413793103448276,0.2127659574468085,0.07407407407407407,0.3069306930693069,,,0.17094017094017094,0.24175824175824176,,0.3287671232876712,0.2532588454376164,0.20136518771331058,0.2631578947368421,0.2670157068062827,0.22857142857142856,0.21406727828746178,0.043478260869565216,0.22077922077922077,0.240625,0.1680327868852459,0.2346311475409836,0.13714285714285715,0.15827338129496402,0.28888888888888886,0.2796610169491525,0.13978494623655913,0.17757009345794392,0.2508591065292096,,0.22727272727272727
ロードカナロア,0.22964509394572025,0.3404255319148936,0.2777777777777778,0.11627906976744186,,0.3055555555555556,0.23734177215189872,0.13513513513513514,,0.3943089430894309,0.25448028673835127,0.29829545454545453,0.3137254901960784,0.08080808080808081,0.2421875,0.23076923076923078,0.3333333333333333,0.043478260869565216,0.27393617021276595,0.18900343642611683,0.25164473684210525,0.21888412017167383,0.2678185745140389,0.41379310344827586,0.23273657289002558,0.2918918918918919,0.3218390804597701,0.3506944444444444,,
ヴィクトワールピサ,0.03125,0.0,0.11904761904761904,,0.19090909090909092,0.1891891891891892,0.09448818897637795,,,0.2403846153846154,,0.1509433962264151,0.06896551724137931,,,0.05,0.15789473684210525,0.0625,,,0.13333333333333333,,,,,0.18461538461538463,0.3049645390070922,0.20588235294117646,0.06666666666666667,
