sire,total_runs,total_top3,top3_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
レイデオロ,1490,371,0.24899328859060402,0.08926174496644296,1839.5570469798658,696750,1878,intermediate,81.3,82.3
サウスヴィグラス,1460,320,0.2191780821917808,0.0684931506849315,1319.7260273972602,415660,1299,sprint,76.4,80.5
ダノンバラード,1454,283,0.19463548830811556,0.05364511691884457,1713.2118294360384,493480,1744,mile,63.1,79.7
エスポワールシチー,1420,316,0.22253521126760564,0.08098591549295775,1494.5985915492959,472620,1496,mile,96.0,86.0
バゴBago(仏),1403,240,0.17106200997861726,0.05131860299358518,1726.3150392017105,412690,1720,mile,63.7,80.0
ジョーカプチーノ,1233,224,0.1816707218167072,0.054339010543390104,1422.0194647201947,325670,1454,mile,98.6,88.5
トゥザグローリー,1193,191,0.1601005867560771,0.04107292539815591,1675.666387259011,319200,1671,mile,78.8,75.2
ロージズインメイRoses in May(米),1192,201,0.1686241610738255,0.05536912751677853,1711.1073825503356,340460,1694,mile,82.0,83.0
エイシンヒカリ,1189,251,0.2111017661900757,0.057190916736753576,1571.3961312026913,387760,1545,mile,99.2,85.6
フリオーソ,1084,163,0.1503690036900369,0.0470479704797048,1641.8542435424354,259810,1594,mile,68.6,75.8
シャンハイボビーShanghai Bobby(米),1083,197,0.1819021237303786,0.04986149584487535,1508.8550323176362,281000,1426,mile,75.3,77.6
ニューイヤーズデイ,1075,294,0.27348837209302324,0.10046511627906977,1561.832558139535,459900,1564,mile,84.1,83.2
カリフォルニアクロームCalifornia Chrome(米),1067,200,0.18744142455482662,0.06654170571696345,1596.447985004686,313200,1566,mile,76.4,87.7
フェノーメノ,1065,172,0.16150234741784036,0.03943661971830986,1830.413145539906,339170,1972,intermediate,60.5,76.2
ロゴタイプ,1047,172,0.16427889207258833,0.04871060171919771,1599.2454632282713,278640,1620,mile,53.8,87.3
ディーマジェスティ,1034,246,0.2379110251450677,0.06286266924564797,1573.936170212766,388290,1578,mile,58.0,77.5
トーセンラー,1030,173,0.1679611650485437,0.05728155339805825,1657.1553398058252,289510,1673,mile,110.6,84.6
メイショウサムソン,1025,182,0.1775609756097561,0.04682926829268293,1775.6195121951218,355500,1953,intermediate,62.6,80.8
リーチザクラウン,1022,159,0.15557729941291584,0.057729941291585124,1637.3874755381605,260740,1640,mile,86.3,74.8
スワーヴリチャード,1015,252,0.2482758620689655,0.09359605911330049,1656.256157635468,433310,1719,mile,66.1,73.3
スマートファルコン,1003,164,0.16350947158524426,0.0518444666001994,1536.4406779661017,252130,1537,mile,84.6,74.9
ザファクター,967,205,0.21199586349534644,0.06618407445708377,1428.4177869700104,288990,1410,mile,71.5,77.9
モンテロッソMonterosso(英),963,134,0.1391484942886812,0.04257528556593977,1701.9833852544132,242160,1807,intermediate,98.6,92.0
ジャングルポケット,962,126,0.13097713097713098,0.036382536382536385,1841.902286902287,245240,1946,intermediate,77.9,71.0
サンダースノーThunder Snow(愛),954,199,0.20859538784067086,0.08280922431865828,1560.1153039832286,313470,1575,mile,96.6,90.2
トゥザワールド,953,165,0.1731374606505771,0.05036726128016789,1548.4575026232949,253040,1534,mile,72.5,78.2
レッドファルクス,933,172,0.18435155412647375,0.05787781350482315,1479.903536977492,253880,1476,mile,82.1,81.3
ベルシャザール,919,148,0.16104461371055495,0.03808487486398259,1756.7355821545157,268750,1816,intermediate,78.9,86.2
スピルバーグ,913,155,0.16976998904709747,0.047097480832420595,1719.288061336254,274330,1770,mile,74.3,76.2
ネオユニヴァース,908,125,0.13766519823788545,0.0605726872246696,1740.9581497797358,222990,1784,mile,85.0,70.7
ファインニードル,907,196,0.2160970231532525,0.08710033076074973,1356.2844542447629,263600,1345,sprint,114.4,82.0
エスケンデレヤ,907,185,0.2039691289966924,0.06725468577728776,1707.2767364939361,329270,1780,mile,92.9,95.3
ビーチパトロールBeach Patrol(米),891,115,0.12906846240179573,0.03591470258136925,1695.8810325476993,208210,1811,intermediate,96.9,86.1
タリスマニックTalismanic(英),840,154,0.18333333333333332,0.0630952380952381,1594.2619047619048,240240,1560,mile,87.1,82.1
トランセンド,834,164,0.19664268585131894,0.06594724220623502,1638.2613908872902,272990,1665,mile,89.1,91.8
ダノンシャンティ,834,130,0.15587529976019185,0.03836930455635491,1547.2541966426859,210830,1622,mile,56.9,72.2
サートゥルナーリア,828,235,0.28381642512077293,0.12439613526570048,1708.816425120773,405500,1726,mile,60.9,68.5
スウェプトオーヴァーボードSwept Overboard(米),797,114,0.14303638644918445,0.043914680050188205,1390.439146800502,161480,1416,mile,71.2,68.3
タートルボウルTurtle Bowl(愛),795,161,0.20251572327044026,0.0729559748427673,1718.9182389937107,283300,1760,mile,88.6,86.0
ルヴァンスレーヴ,794,233,0.29345088161209065,0.10075566750629723,1605.793450881612,388600,1668,mile,100.0,99.7
ベーカバドBehkabad(仏),788,129,0.16370558375634517,0.04949238578680203,1626.8401015228426,213710,1657,mile,68.8,78.6
バトルプランBattle Plan(米),748,104,0.13903743315508021,0.04144385026737968,1547.4197860962568,160280,1541,mile,88.5,77.5
アルアイン,742,128,0.1725067385444744,0.05390835579514825,1625.3504043126684,199100,1555,mile,66.1,71.8
ヴァンセンヌ,709,121,0.17066290550070523,0.05782792665726375,1630.6629055007052,212010,1752,mile,103.8,92.5
プリサイスエンドPrecise End(米),706,121,0.17138810198300283,0.043909348441926344,1498.201133144476,188200,1555,mile,83.0,87.3
グランプリボス,703,108,0.15362731152204837,0.04551920341394026,1550.9103840682787,168200,1557,mile,79.2,76.7
トーセンジョーダン,703,107,0.15220483641536273,0.03840682788051209,1666.4011379800854,188270,1760,mile,72.8,80.5
ステイゴールド,680,162,0.23823529411764705,0.075,2243.176470588235,378970,2339,intermediate,100.9,85.6
シンボリクリスエス,665,122,0.18345864661654135,0.0481203007518797,1842.3007518796992,227530,1865,intermediate,64.9,90.2
ゼンノロブロイ,651,83,0.12749615975422426,0.03840245775729647,1823.394777265745,152600,1839,intermediate,64.7,76.8
クリエイターIICreator(米),650,91,0.14,0.036923076923076927,1682.7846153846153,152650,1677,mile,75.6,75.6
モズアスコット,639,180,0.28169014084507044,0.10015649452269171,1480.75117370892,263950,1466,mile,74.3,85.3
American Pharoah(米),639,188,0.2942097026604069,0.14397496087636932,1580.75117370892,286100,1522,mile,102.9,76.3
ローエングリン,638,98,0.1536050156739812,0.0438871473354232,1578.9184952978057,151950,1551,mile,74.3,77.2
シュヴァルグラン,630,101,0.16031746031746033,0.049206349206349205,1668.015873015873,171650,1700,mile,73.6,71.9
ラニ,620,133,0.21451612903225806,0.05967741935483871,1675.258064516129,212800,1600,mile,87.4,94.9
ヨハネスブルグJohannesburg(米),608,90,0.14802631578947367,0.05263157894736842,1468.6184210526317,129410,1438,mile,106.4,75.8
マンハッタンカフェ,596,112,0.18791946308724833,0.04697986577181208,1956.1409395973155,236450,2111,intermediate,85.1,79.1
Frankel,588,182,0.30952380952380953,0.10034013605442177,1579.6938775510205,292700,1608,mile,62.7,76.9
ロジャーバローズ,588,109,0.18537414965986396,0.05272108843537415,1656.3945578231292,177250,1626,mile,66.9,74.0
タワーオブロンドン,586,121,0.20648464163822525,0.052901023890784986,1354.8464163822525,163120,1348,sprint,87.3,78.5
グレーターロンドン,582,152,0.2611683848797251,0.11683848797250859,1626.872852233677,247940,1631,mile,117.4,90.7
カジノドライヴ,579,97,0.16753022452504318,0.06217616580310881,1651.105354058722,160090,1650,mile,87.2,76.8
ドリームジャーニー,562,120,0.21352313167259787,0.051601423487544484,1966.6725978647687,252480,2104,intermediate,64.1,77.5
キングズベストKing's Best(米),552,91,0.16485507246376813,0.06884057971014493,1544.8007246376812,143890,1581,mile,115.4,82.3
トーセンホマレボシ,552,78,0.14130434782608695,0.025362318840579712,1838.9855072463768,143470,1839,intermediate,52.1,76.7
モーニン,535,112,0.20934579439252338,0.07476635514018691,1475.1401869158879,167600,1496,mile,97.8,79.3
