phase,par_blend,ability_bias_sec,transfer_strength,mae,score,w_surface_only,w_distance_only,w_both
1,0.0,1.0,0.5,15.917204704704705,15.992810049874448,,,
1,0.0,1.0,1.0,15.917204704704705,15.992810049874448,,,
1,0.0,0.5,0.0,16.229817317317316,16.25755051024677,,,
1,0.0,0.5,0.5,16.229817317317316,16.25755051024677,,,
1,0.0,0.5,1.0,16.229817317317316,16.25755051024677,,,
1,0.0,0.5,1.0,16.29348098098098,16.35219321089458,,,
1,0.0,0.5,0.5,16.29348098098098,16.35219321089458,,,
1,0.0,0.5,0.0,16.29348098098098,16.35219321089458,,,
1,0.0,0.5,1.0,16.338075575575576,16.41386074092514,,,
1,0.0,0.5,0.5,16.338075575575576,16.41386074092514,,,
1,0.0,0.5,0.0,16.338075575575576,16.41386074092514,,,
1,0.0,0.0,0.5,17.69256756756757,17.720156911476167,,,
1,0.0,0.0,0.0,17.69256756756757,17.720156911476167,,,
1,0.0,0.0,1.0,17.69256756756757,17.720156911476167,,,
1,0.0,0.0,0.0,17.75668168168168,17.81535395155532,,,
1,0.0,0.0,0.5,17.75668168168168,17.81535395155532,,,
1,0.0,0.0,1.0,17.75668168168168,17.81535395155532,,,
1,0.0,0.0,0.0,17.810372872872872,17.886084582266626,,,
1,0.0,0.0,0.5,17.810372872872872,17.886084582266626,,,
1,0.0,0.0,1.0,17.810372872872872,17.886084582266626,,,
1,0.0,2.0,0.0,18.741754254254253,18.769450104846896,,,
1,0.0,2.0,0.5,18.741754254254253,18.769450104846896,,,
1,0.0,2.0,1.0,18.741754254254253,18.769450104846896,,,
1,0.0,2.0,1.0,18.792555055055054,18.851210870794592,,,
1,0.0,2.0,0.5,18.792555055055054,18.851210870794592,,,
1,0.0,2.0,0.0,18.792555055055054,18.851210870794592,,,
1,0.0,2.0,1.0,18.79097847847848,18.866583823648224,,,
1,0.0,2.0,0.5,18.79097847847848,18.866583823648224,,,
1,0.0,2.0,0.0,18.79097847847848,18.866583823648224,,,
1,0.0,-0.5,1.0,20.0494994994995,20.07725636819101,,,
1,0.0,-0.5,0.5,20.0494994994995,20.07725636819101,,,
1,0.0,-0.5,0.0,20.0494994994995,20.07725636819101,,,
1,0.0,-0.5,1.0,20.0985985985986,20.156910087062506,,,
1,0.0,-0.5,0.5,20.0985985985986,20.156910087062506,,,
1,0.0,-0.5,0.0,20.0985985985986,20.156910087062506,,,
1,0.0,-0.5,0.5,20.156956956956957,20.232573377024654,,,
1,0.0,-0.5,0.0,20.156956956956957,20.232573377024654,,,
1,0.0,-0.5,1.0,20.156956956956957,20.232573377024654,,,
1,0.0,-1.0,0.0,23.101951951951953,23.130385179797813,,,
1,0.0,-1.0,0.5,23.101951951951953,23.130385179797813,,,
1,0.0,-1.0,1.0,23.101951951951953,23.130385179797813,,,
1,0.0,-1.0,0.5,23.145095095095094,23.204342191212007,,,
1,0.0,-1.0,0.0,23.145095095095094,23.204342191212007,,,
1,0.0,-1.0,1.0,23.145095095095094,23.204342191212007,,,
1,0.0,-1.0,0.5,23.2015015015015,23.277514285112414,,,
1,0.0,-1.0,0.0,23.2015015015015,23.277514285112414,,,
1,0.0,-1.0,1.0,23.2015015015015,23.277514285112414,,,
1,0.25,1.0,0.0,25.092742742742743,25.22471580068064,,,
1,0.25,1.0,0.5,25.092742742742743,25.22471580068064,,,
1,0.25,1.0,1.0,25.092742742742743,25.22471580068064,,,
1,0.25,0.5,0.0,25.14816066066066,25.27963085457148,,,
1,0.25,0.5,0.5,25.14816066066066,25.27963085457148,,,
1,0.25,0.5,1.0,25.14816066066066,25.27963085457148,,,
1,0.25,1.0,1.0,25.242692692692692,25.39654661508068,,,
1,0.25,1.0,0.5,25.242692692692692,25.39654661508068,,,
1,0.25,1.0,0.0,25.242692692692692,25.39654661508068,,,
1,0.25,0.5,0.0,25.304592092092093,25.460507242130735,,,
1,0.25,0.5,0.5,25.304592092092093,25.460507242130735,,,
1,0.25,0.5,1.0,25.304592092092093,25.460507242130735,,,
1,0.25,1.0,0.0,25.381031031031032,25.537705035326766,,,
1,0.25,1.0,0.5,25.381031031031032,25.537705035326766,,,
1,0.25,1.0,1.0,25.381031031031032,25.537705035326766,,,
1,0.25,0.5,0.5,25.445945945945947,25.601802081482308,,,
1,0.25,0.5,0.0,25.445945945945947,25.601802081482308,,,
1,0.25,0.5,1.0,25.445945945945947,25.601802081482308,,,
1,0.25,0.0,0.0,25.713475975975975,25.84933151045499,,,
