sire,n_runners,sire_line,avg_distance,dist_sprint_rate,dist_sprint_top3,dist_mile_rate,dist_mile_top3,dist_middle_rate,dist_middle_top3,dist_long_rate,dist_long_top3,surf_芝_rate,surf_芝_top3,surf_ダート_rate,surf_ダート_top3,tc_良_rate,tc_良_top3,tc_稍重_rate,tc_稍重_top3,tc_重_rate,tc_重_top3,tc_不良_rate,tc_不良_top3,venue_札幌_rate,venue_札幌_top3,venue_函館_rate,venue_函館_top3,venue_福島_rate,venue_福島_top3,venue_新潟_rate,venue_新潟_top3,venue_東京_rate,venue_東京_top3,venue_中山_rate,venue_中山_top3,venue_中京_rate,venue_中京_top3,venue_京都_rate,venue_京都_top3,venue_阪神_rate,venue_阪神_top3,venue_小倉_rate,venue_小倉_top3,overall_top3_rate,overall_win_rate,mstn_allele_c,mstn_allele_t,line_その他,line_エーピーインディ系,line_キングカメハメハ系,line_サドラーズウェルズ系,line_サンデーサイレンス系,line_ストームキャット系,line_デインヒル系,line_デピュティミニスター系,line_ノーザンダンサー系,line_ミスタープロスペクター系,line_ロベルト系
シャンハイボビーShanghai Bobby(米),66,ストームキャット系,1863.0,0.2,0.0,0.4,0.0,0.1,0.0,0.3,0.0,0.13636363636363635,0.1111111111111111,0.015151515151515152,0.0,0.803030303030303,0.18867924528301888,0.12121212121212122,0.25,0.07575757575757576,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.36363636363636365,0.2916666666666667,0.12121212121212122,0.0,0.18181818181818182,0.08333333333333333,0.22727272727272727,0.13333333333333333,0.09090909090909091,0.3333333333333333,0.19696969696969696,0.030303030303030304,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
シュヴァルグラン,29,サンデーサイレンス系,1828.0,0.2,0.0,0.1,0.0,0.5,0.0,0.2,0.0,0.3103448275862069,0.1111111111111111,0.034482758620689655,0.0,0.8275862068965517,0.125,0.10344827586206896,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.3793103448275862,0.09090909090909091,0.1724137931034483,0.0,0.1724137931034483,0.2,0.06896551724137931,0.0,0.13793103448275862,0.0,0.13793103448275862,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
シルバーステート,171,サンデーサイレンス系,1848.5294117647059,0.11764705882352941,0.125,0.25,0.29411764705882354,0.5147058823529411,0.34285714285714286,0.11764705882352941,0.375,0.3684210526315789,0.30158730158730157,0.029239766081871343,0.4,0.8947368421052632,0.29411764705882354,0.07602339181286549,0.0,0.029239766081871343,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906432748537,0.0,0.4853801169590643,0.27710843373493976,0.04093567251461988,0.0,0.1871345029239766,0.375,0.1286549707602339,0.2727272727272727,0.14619883040935672,0.16,0.27485380116959063,0.1286549707602339,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ジャスタウェイ,74,サンデーサイレンス系,1982.3809523809523,0.047619047619047616,0.0,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.125,0.23809523809523808,0.6,0.2702702702702703,0.3,0.013513513513513514,0.0,0.8918918918918919,0.2727272727272727,0.08108108108108109,0.3333333333333333,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04054054054054054,0.0,0.47297297297297297,0.22857142857142856,0.14864864864864866,0.2727272727272727,0.21621621621621623,0.3125,0.06756756756756757,0.4,0.05405405405405406,0.0,0.28378378378378377,0.0945945945945946,0.05,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
スクリーンヒーロー,46,ロベルト系,1990.5882352941176,0.11764705882352941,0.0,0.0,0.0,0.7058823529411765,0.3333333333333333,0.17647058823529413,0.0,0.34782608695652173,0.375,0.021739130434782608,0.0,0.9565217391304348,0.38636363636363635,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.6956521739130435,0.375,0.021739130434782608,0.0,0.10869565217391304,0.4,0.043478260869565216,0.0,0.08695652173913043,0.0,0.3695652173913043,0.15217391304347827,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ストロングリターン,24,サンデーサイレンス系,1882.5,0.375,0.0,0.125,0.0,0.25,0.0,0.25,0.0,0.2916666666666667,0.0,0.041666666666666664,0.0,0.7916666666666666,0.10526315789473684,0.125,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.2916666666666667,0.0,0.125,0.0,0.041666666666666664,0.0,0.16666666666666666,0.0,0.2916666666666667,0.14285714285714285,0.125,0.041666666666666664,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
スワーヴリチャード,70,サンデーサイレンス系,1862.962962962963,0.14814814814814814,0.0,0.14814814814814814,0.0,0.5925925925925926,0.375,0.1111111111111111,0.0,0.38571428571428573,0.25925925925925924,0.0,0.0,0.8857142857142857,0.24193548387096775,0.07142857142857142,0.2,0.02857142857142857,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2857142857142857,0.14285714285714285,0.2,0.18571428571428572,0.15384615384615385,0.12857142857142856,0.2222222222222222,0.14285714285714285,0.3,0.24285714285714285,0.02857142857142857,0.1,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
タリスマニックTalismanic(英),34,デインヒル系,1821.111111111111,0.5555555555555556,0.4,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.23529411764705882,0.375,0.029411764705882353,0.0,0.8529411764705882,0.3793103448275862,0.08823529411764706,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.38235294117647056,0.23076923076923078,0.14705882352941177,0.4,0.11764705882352941,0.0,0.08823529411764706,0.0,0.23529411764705882,0.375,0.3235294117647059,0.08823529411764706,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
タワーオブロンドン,61,サンデーサイレンス系,1637.857142857143,0.5714285714285714,0.125,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.0,0.18032786885245902,0.09090909090909091,0.04918032786885246,0.0,0.8688524590163934,0.16981132075471697,0.09836065573770492,0.3333333333333333,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.29508196721311475,0.2222222222222222,0.13114754098360656,0.0,0.18032786885245902,0.18181818181818182,0.14754098360655737,0.3333333333333333,0.21311475409836064,0.23076923076923078,0.19672131147540983,0.03278688524590164,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ダイワメジャー,65,サンデーサイレンス系,1557.3333333333333,0.43333333333333335,0.23076923076923078,0.26666666666666666,0.25,0.23333333333333334,0.2857142857142857,0.06666666666666667,0.0,0.46153846153846156,0.26666666666666666,0.0,0.0,0.8615384615384616,0.26785714285714285,0.13846153846153847,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.3230769230769231,0.2857142857142857,0.1076923076923077,0.14285714285714285,0.15384615384615385,0.1,0.1076923076923077,0.14285714285714285,0.26153846153846155,0.29411764705882354,0.24615384615384617,0.07692307692307693,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
